Topic,Composition
0,"0.026*""make"" + 0.019*""pound"" + 0.012*""statement"" + 0.012*""give"" + 0.008*""cost"" + 0.008*""know"" + 0.008*""vote"" + 0.008*""reality"" + 0.008*""military"" + 0.008*""big"""
1,"0.022*""go"" + 0.015*""know"" + 0.011*""work"" + 0.011*""get"" + 0.011*""tax"" + 0.011*""happen"" + 0.011*""poor"" + 0.011*""money"" + 0.007*""government"" + 0.007*""look"""
2,"0.017*""import"" + 0.014*""much"" + 0.014*""far"" + 0.014*""go"" + 0.010*""export"" + 0.010*""time"" + 0.010*""year"" + 0.010*""material"" + 0.010*""company"" + 0.007*""long"""
3,"0.017*""manifesto"" + 0.013*""economy"" + 0.010*""go"" + 0.010*""election"" + 0.010*""brexit"" + 0.007*""try"" + 0.007*""vote"" + 0.007*""give"" + 0.007*""already"" + 0.007*""last"""
4,"0.014*""worth"" + 0.014*""well"" + 0.014*""brexit"" + 0.011*""even"" + 0.011*""bad"" + 0.011*""happen"" + 0.010*""year"" + 0.007*""economy"" + 0.007*""get"" + 0.007*""fiscal"""
5,"0.022*""go"" + 0.010*""austerity"" + 0.010*""poor"" + 0.010*""rich"" + 0.010*""tax"" + 0.010*""british"" + 0.007*""pound"" + 0.007*""even"" + 0.007*""inflation"" + 0.007*""payer"""
6,"0.012*""policy"" + 0.012*""year"" + 0.009*""take"" + 0.009*""economy"" + 0.007*""tory"" + 0.007*""cut"" + 0.007*""failure"" + 0.007*""tax"" + 0.007*""use"" + 0.007*""demand"""
7,"0.020*""well"" + 0.012*""do"" + 0.012*""give"" + 0.012*""tory"" + 0.008*""go"" + 0.008*""rise"" + 0.008*""hand"" + 0.008*""need"" + 0.008*""price"" + 0.008*""less"""
8,"0.012*""give"" + 0.009*""year"" + 0.009*""vote"" + 0.009*""country"" + 0.006*""trus"" + 0.006*""pound"" + 0.006*""come"" + 0.006*""growth"" + 0.006*""extra"" + 0.006*""mortgage"""
9,"0.013*""cost"" + 0.010*""result"" + 0.010*""effect"" + 0.010*""high"" + 0.007*""less"" + 0.007*""budget"" + 0.007*""election"" + 0.007*""seem"" + 0.007*""get"" + 0.007*""say"""
