Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.34039866722634465
100% Corpus,2,0.01,0.31,0.3189209846579369
100% Corpus,2,0.01,0.61,0.3194816505605882
100% Corpus,2,0.01,0.9099999999999999,0.309412202364009
100% Corpus,2,0.01,symmetric,0.3194816505605882
100% Corpus,2,0.31,0.01,0.3386324828668208
100% Corpus,2,0.31,0.31,0.34940499740840414
100% Corpus,2,0.31,0.61,0.3373035496900234
100% Corpus,2,0.31,0.9099999999999999,0.33213544565283437
100% Corpus,2,0.31,symmetric,0.3484007275471968
100% Corpus,2,0.61,0.01,0.34605824007988595
100% Corpus,2,0.61,0.31,0.3720106586893471
100% Corpus,2,0.61,0.61,0.345059577569828
100% Corpus,2,0.61,0.9099999999999999,0.32667210865351354
100% Corpus,2,0.61,symmetric,0.3569541036606123
100% Corpus,2,0.9099999999999999,0.01,0.3829775190517749
100% Corpus,2,0.9099999999999999,0.31,0.3710666433082951
100% Corpus,2,0.9099999999999999,0.61,0.34898905104672784
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.3338081017587877
100% Corpus,2,0.9099999999999999,symmetric,0.36037442756307
100% Corpus,2,symmetric,0.01,0.35251904090237896
100% Corpus,2,symmetric,0.31,0.35996536997705053
100% Corpus,2,symmetric,0.61,0.36182706149481036
100% Corpus,2,symmetric,0.9099999999999999,0.3266721086535135
100% Corpus,2,symmetric,symmetric,0.3585681463160254
100% Corpus,2,asymmetric,0.01,0.34440233533032916
100% Corpus,2,asymmetric,0.31,0.3767713663210246
100% Corpus,2,asymmetric,0.61,0.38437875112062325
100% Corpus,2,asymmetric,0.9099999999999999,0.3633398175954482
100% Corpus,2,asymmetric,symmetric,0.3843787511206233
100% Corpus,3,0.01,0.01,0.3391811234658057
100% Corpus,3,0.01,0.31,0.3565866007252545
100% Corpus,3,0.01,0.61,0.3575540513525168
100% Corpus,3,0.01,0.9099999999999999,0.3375815795069724
100% Corpus,3,0.01,symmetric,0.3565866007252545
100% Corpus,3,0.31,0.01,0.3746051836831484
100% Corpus,3,0.31,0.31,0.3367190791070372
100% Corpus,3,0.31,0.61,0.3414033292465785
100% Corpus,3,0.31,0.9099999999999999,0.3414033292465785
100% Corpus,3,0.31,symmetric,0.3367190791070372
100% Corpus,3,0.61,0.01,0.38145468539575744
100% Corpus,3,0.61,0.31,0.36221142397469847
100% Corpus,3,0.61,0.61,0.3353480151531869
100% Corpus,3,0.61,0.9099999999999999,0.3153299969292484
100% Corpus,3,0.61,symmetric,0.3654852525410795
100% Corpus,3,0.9099999999999999,0.01,0.3594005428430856
100% Corpus,3,0.9099999999999999,0.31,0.36731449747217626
100% Corpus,3,0.9099999999999999,0.61,0.35800991277828054
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.340577580519182
100% Corpus,3,0.9099999999999999,symmetric,0.36731449747217626
100% Corpus,3,symmetric,0.01,0.3681336433715128
100% Corpus,3,symmetric,0.31,0.34356358721863817
100% Corpus,3,symmetric,0.61,0.32970576573341
100% Corpus,3,symmetric,0.9099999999999999,0.36170823763111243
100% Corpus,3,symmetric,symmetric,0.33671907910703713
100% Corpus,3,asymmetric,0.01,0.35739050865814875
100% Corpus,3,asymmetric,0.31,0.3356629147405195
100% Corpus,3,asymmetric,0.61,0.39266077961816453
100% Corpus,3,asymmetric,0.9099999999999999,0.36457385294990424
100% Corpus,3,asymmetric,symmetric,0.3356629147405195
100% Corpus,4,0.01,0.01,0.3927514435897984
100% Corpus,4,0.01,0.31,0.3834041931336346
100% Corpus,4,0.01,0.61,0.37863157767533995
100% Corpus,4,0.01,0.9099999999999999,0.3867950011265118
100% Corpus,4,0.01,symmetric,0.3873223378551588
100% Corpus,4,0.31,0.01,0.3772327385082095
100% Corpus,4,0.31,0.31,0.3812811424571816
100% Corpus,4,0.31,0.61,0.3889454219962597
100% Corpus,4,0.31,0.9099999999999999,0.37838296452903597
100% Corpus,4,0.31,symmetric,0.385131372071996
100% Corpus,4,0.61,0.01,0.36159883126714665
100% Corpus,4,0.61,0.31,0.34126742052520637
